Code,Libellé
G46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques
G46.51Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
G46.52Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
G46.61Z,Commerce de gros (commerce interentreprises) de matériel agricole
G46.62Z,Commerce de gros (commerce interentreprises) de machines-outils
G46.63Z,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil"
G46.64Z,Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
G46.65Z,Commerce de gros (commerce interentreprises) de mobilier de bureau
G46.66Z,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
G46.69A,Commerce de gros (commerce interentreprises) de matériel électrique
G46.69B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
G46.69C,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
G46.71Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
G46.72Z,Commerce de gros (commerce interentreprises) de minerais et métaux
G46.73A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
G46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
G46.74A,Commerce de gros (commerce interentreprises) de quincaillerie
G46.74B,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
G46.75Z,Commerce de gros (commerce interentreprises) de produits chimiques
G46.76Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
G46.77Z,Commerce de gros (commerce interentreprises) de déchets et débris
G46.90Z,Commerce de gros (commerce interentreprises) non spécialisé
G47.11A,Commerce de détail de produits surgelés
G47.11B,Commerce d'alimentation générale
G47.11C,Supérettes
G47.11D,Supermarchés
G47.11E,Magasins multi-commerces
G47.11F,Hypermarchés
G47.19A,Grands magasins
G47.19B,Autres commerces de détail en magasin non spécialisé
G47.21Z,Commerce de détail de fruits et légumes en magasin spécialisé
G47.22Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
G47.23Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
G47.24Z,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
G47.25Z,Commerce de détail de boissons en magasin spécialisé
G47.26Z,Commerce de détail de produits à base de tabac en magasin spécialisé
G47.29Z,Autres commerces de détail alimentaires en magasin spécialisé
G47.30Z,Commerce de détail de carburants en magasin spécialisé
G47.41Z,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
G47.42Z,Commerce de détail de matériels de télécommunication en magasin spécialisé
G47.43Z,Commerce de détail de matériels audio et vidéo en magasin spécialisé
G47.51Z,Commerce de détail de textiles en magasin spécialisé
G47.52A,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
G47.52B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
G47.53Z,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
G47.54Z,Commerce de détail d'appareils électroménagers en magasin spécialisé
G47.59A,Commerce de détail de meubles
G47.59B,Commerce de détail d'autres équipements du foyer
G47.61Z,Commerce de détail de livres en magasin spécialisé
G47.62Z,Commerce de détail de journaux et papeterie en magasin spécialisé
G47.63Z,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
G47.64Z,Commerce de détail d'articles de sport en magasin spécialisé
G47.65Z,Commerce de détail de jeux et jouets en magasin spécialisé
G47.71Z,Commerce de détail d'habillement en magasin spécialisé
G47.72A,Commerce de détail de la chaussure
G47.72B,Commerce de détail de maroquinerie et d'articles de voyage
G47.73Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé
G47.74Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
G47.75Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
G47.76Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé"
G47.77Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
G47.78A,Commerces de détail d'optique
G47.78B,Commerces de détail de charbons et combustibles
G47.78C,Autres commerces de détail spécialisés divers
G47.79Z,Commerce de détail de biens d'occasion en magasin
G47.81Z,Commerce de détail alimentaire sur éventaires et marchés
G47.82Z,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
G47.89Z,Autres commerces de détail sur éventaires et marchés
G47.91A,Vente à distance sur catalogue général
G47.91B,Vente à distance sur catalogue spécialisé
G47.99A,Vente à domicile
G47.99B,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
H49.10Z,Transport ferroviaire interurbain de voyageurs
H49.20Z,Transports ferroviaires de fret
H49.31Z,Transports urbains et suburbains de voyageurs
H49.32Z,Transports de voyageurs par taxis
H49.39A,Transports routiers réguliers de voyageurs
H49.39B,Autres transports routiers de voyageurs
H49.39C,Téléphériques et remontées mécaniques
H49.41A,Transports routiers de fret interurbains
H49.41B,Transports routiers de fret de proximité
H49.41C,Location de camions avec chauffeur
H49.42Z,Services de déménagement
H49.50Z,Transports par conduites
H50.10Z,Transports maritimes et côtiers de passagers
H50.20Z,Transports maritimes et côtiers de fret
H50.30Z,Transports fluviaux de passagers
H50.40Z,Transports fluviaux de fret
H51.10Z,Transports aériens de passagers
H51.21Z,Transports aériens de fret
H51.22Z,Transports spatiaux
H52.10A,Entreposage et stockage frigorifique
H52.10B,Entreposage et stockage non frigorifique
H52.21Z,Services auxiliaires des transports terrestres
H52.22Z,Services auxiliaires des transports par eau
H52.23Z,Services auxiliaires des transports aériens
H52.24A,Manutention portuaire
H52.24B,Manutention non portuaire
H52.29A,"Messagerie, fret express"
H52.29B,Affrètement et organisation des transports
H53.10Z,Activités de poste dans le cadre d'une obligation de service universel
H53.20Z,Autres activités de poste et de courrier
I55.10Z,Hôtels et hébergement similaire
I55.20Z,Hébergement touristique et autre hébergement de courte durée
I55.30Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
I55.90Z,Autres hébergements
I56.10A,Restauration traditionnelle
I56.10B,Cafétérias et autres libres-services
I56.10C,Restauration de type rapide
I56.21Z,Services des traiteurs
I56.29A,Restauration collective sous contrat
I56.29B,Autres services de restauration n.c.a.
I56.30Z,Débits de boissons
J58.11Z,Édition de livres
