Code,Libellé
H50.2 - Transports maritimes et côtiers de fret,Transports maritimes et côtiers de fret
H50.3 - Transports fluviaux de passagers,Transports fluviaux de passagers
H50.4 - Transports fluviaux de fret,Transports fluviaux de fret
H51.1 - Transports aériens de passagers,Transports aériens de passagers
H51.2 - Transports aériens de fret et transports spatiaux,Transports aériens de fret et transports spatiaux
H52.1 - Entreposage et stockage,Entreposage et stockage
H52.2 - Services auxiliaires des transports,Services auxiliaires des transports
H53.1 - Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel
H53.2 - Autres activités de poste et de courrier,Autres activités de poste et de courrier
I55.1 - Hôtels et hébergement similaire,Hôtels et hébergement similaire
I55.2 - Hébergement touristique et autre hébergement de courte durée,Hébergement touristique et autre hébergement de courte durée
I55.3 - Terrains de camping et parcs pour caravanes ou véhicules de loisirs,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
I55.9 - Autres hébergements,Autres hébergements
I56.1 - Restaurants et services de restauration mobile,Restaurants et services de restauration mobile
I56.2 - Traiteurs et autres services de restauration,Traiteurs et autres services de restauration
I56.3 - Débits de boissons,Débits de boissons
J58.1 - Édition de livres et périodiques et autres activités d'édition,Édition de livres et périodiques et autres activités d'édition
J58.2 - Édition de logiciels,Édition de logiciels
"J59.1 - Activités cinématographiques, vidéo et de télévision","Activités cinématographiques, vidéo et de télévision"
J59.2 - Enregistrement sonore et édition musicale,Enregistrement sonore et édition musicale
J60.1 - Édition et diffusion de programmes radio,Édition et diffusion de programmes radio
J60.2 - Programmation de télévision et télédiffusion,Programmation de télévision et télédiffusion
J61.1 - Télécommunications filaires,Télécommunications filaires
J61.2 - Télécommunications sans fil,Télécommunications sans fil
J61.3 - Télécommunications par satellite,Télécommunications par satellite
J61.9 - Autres activités de télécommunication,Autres activités de télécommunication
"J62.0 - Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques"
"J63.1 - Traitement de données, hébergement et activités connexes ; portails Internet","Traitement de données, hébergement et activités connexes ; portails Internet"
J63.9 - Autres services d'information,Autres services d'information
K64.1 - Intermédiation monétaire,Intermédiation monétaire
K64.2 - Activités des sociétés holding,Activités des sociétés holding
K64.3 - Fonds de placement et entités financières similaires,Fonds de placement et entités financières similaires
"K64.9 - Autres activités des services financiers, hors assurance et caisses de retraite","Autres activités des services financiers, hors assurance et caisses de retraite"
K65.1 - Assurance,Assurance
K65.2 - Réassurance,Réassurance
K65.3 - Caisses de retraite,Caisses de retraite
"K66.1 - Activités auxiliaires de services financiers, hors assurance et caisses de retraite","Activités auxiliaires de services financiers, hors assurance et caisses de retraite"
K66.2 - Activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires d'assurance et de caisses de retraite
K66.3 - Gestion de fonds,Gestion de fonds
L68.1 - Activités des marchands de biens immobiliers,Activités des marchands de biens immobiliers
L68.2 - Location et exploitation de biens immobiliers propres ou loués,Location et exploitation de biens immobiliers propres ou loués
L68.3 - Activités immobilières pour compte de tiers,Activités immobilières pour compte de tiers
